"種別","名称","住所","x座標","y座標"
"指定緊急避難場所（緊急時の避難場所）","狭戸公民館","安富町狭戸644-1","134.5797901","34.95775106"
"指定緊急避難場所（緊急時の避難場所）","コミュニティ防災公園","安富町長野231-1","134.5876999","34.97761582"
"指定緊急避難場所（緊急時の避難場所）","姫路市立安富北小学校","安富町杤原664-2","134.6044474","35.02086101"
"指定緊急避難場所（緊急時の避難場所）","広畑第二公民館","広畑区高浜町三丁目21","134.6221212","34.79971785"
"指定緊急避難場所（緊急時の避難場所）","城乾公民館","南新在家6-1","134.6852943","34.84465198"
"指定緊急避難場所（緊急時の避難場所）","浜手緑地中島東地区","飾磨区中島","134.6821826","34.78858854"
"指定緊急避難場所（緊急時の避難場所）","高浜総合公園","飾磨区阿成植木1133外","134.6914635","34.80670207"
"指定緊急避難場所（緊急時の避難場所）","網干南公園","網干区新在家250-1","134.5932692","34.77323954"
"指定緊急避難場所（緊急時の避難場所）","網干南公園ふれあいの館","網干区新在家246","134.5926301","34.77290349"
"指定緊急避難場所（緊急時の避難場所）","青山公民館","青山五丁目2-1","134.6396658","34.84527133"
"指定緊急避難場所（緊急時の避難場所）","青山小学校","青山北三丁目42-1","134.6332503","34.85203947"
"指定緊急避難場所（緊急時の避難場所）","英賀保公民館","飾磨区英賀清水町一丁目14","134.6448418","34.80794353"
"指定緊急避難場所（緊急時の避難場所）","英賀保小学校","飾磨区英賀清水町二丁目76","134.6446608","34.80697273"
"指定緊急避難場所（緊急時の避難場所）","朝日中学校","網干区坂出1-1","134.590124","34.80405386"
"指定緊急避難場所（緊急時の避難場所）","朝日山公園","勝原区朝日谷601-1 外","134.5859861","34.81753151"
"指定緊急避難場所（緊急時の避難場所）","網干公民館","網干区新在家363-31","134.5919633","34.78028626"
"指定緊急避難場所（緊急時の避難場所）","網干高校","網干区新在家259-1","134.5919215","34.77398497"
"指定緊急避難場所（緊急時の避難場所）","網干市民センター","網干区垣内中町120","134.5889309","34.78926343"
"指定緊急避難場所（緊急時の避難場所）","網干小学校","網干区新在家897-1","134.5930161","34.78144713"
"指定緊急避難場所（緊急時の避難場所）","網干中学校","網干区新在家1320-4","134.591192","34.78535477"
"指定緊急避難場所（緊急時の避難場所）","網干テニスコート","網干区新在家1320-4","134.591997","34.78418987"
"指定緊急避難場所（緊急時の避難場所）","網干なぎさ公園","網干区新在家246-2","134.5943215","34.77222635"
"指定緊急避難場所（緊急時の避難場所）","網干西公民館","網干区興浜1209-1","134.581925","34.78134432"
"指定緊急避難場所（緊急時の避難場所）","網干西小学校","網干区浜田24","134.5787122","34.7810984"
"指定緊急避難場所（緊急時の避難場所）","網干幼稚園","網干区興浜16","134.5859877","34.78069632"
"指定緊急避難場所（緊急時の避難場所）","荒川公民館","町坪127-4","134.6582568","34.82082944"
"指定緊急避難場所（緊急時の避難場所）","荒川小学校","井ノ口49-1","134.6615414","34.82195638"
"指定緊急避難場所（緊急時の避難場所）","荒川幼稚園","町坪127","134.6589331","34.82102573"
"指定緊急避難場所（緊急時の避難場所）","伊勢公民館","林田町上伊勢1077-5","134.608903","34.906473"
"指定緊急避難場所（緊急時の避難場所）","伊勢小学校","林田町上伊勢886-1","134.6085814","34.90179793"
"指定緊急避難場所（緊急時の避難場所）","市川台緑地","市川台一丁目～三丁目、東郷町（市川右岸）","134.7169519","34.83188996"
"指定緊急避難場所（緊急時の避難場所）","一本松緑地","花田町一本松地先(市川左岸)","134.7186266","34.82452867"
"指定緊急避難場所（緊急時の避難場所）","糸引公民館","継156-1","134.7211111","34.79253613"
"指定緊急避難場所（緊急時の避難場所）","糸引小学校","東山114-1","134.7175034","34.7946299"
"指定緊急避難場所（緊急時の避難場所）","宇佐崎公園","白浜町宇佐崎中二丁目666","134.7126763","34.78342102"
"指定緊急避難場所（緊急時の避難場所）","運河公園","南条、佃町、三条町1～2丁目、庄田他","134.686964","34.81339262"
"指定緊急避難場所（緊急時の避難場所）","太市公民館","西脇439-8","134.6044991","34.86336776"
"指定緊急避難場所（緊急時の避難場所）","太市小学校","西脇507","134.6032577","34.86324396"
"指定緊急避難場所（緊急時の避難場所）","大塩公民館","大塩町汐咲一丁目39","134.7570586","34.779273"
"指定緊急避難場所（緊急時の避難場所）","大塩小学校","大塩町汐咲二丁目19","134.754938","34.77894691"
"指定緊急避難場所（緊急時の避難場所）","大津公民館","大津区天満883-1","134.6078026","34.79600969"
"指定緊急避難場所（緊急時の避難場所）","大津小学校","大津区天満1001-4","134.6062457","34.79770849"
"指定緊急避難場所（緊急時の避難場所）","大津団地第二公園","大津区大津町三丁目41","134.6052976","34.8051296"
"指定緊急避難場所（緊急時の避難場所）","大津中学校","大津区長松229","134.603006","34.79965325"
"指定緊急避難場所（緊急時の避難場所）","大津茂公民館","勝原区勝原町16-2","134.6004962","34.8071054"
"指定緊急避難場所（緊急時の避難場所）","大津茂小学校","網干区田井22","134.5998472","34.80266287"
"指定緊急避難場所（緊急時の避難場所）","大的市民センター","大塩町2211-5","134.7522505","34.77680999"
"指定緊急避難場所（緊急時の避難場所）","大的中学校","大塩町2213-2","134.7520605","34.77601706"
"指定緊急避難場所（緊急時の避難場所）","お通緑地","花田町小川地先(市川左岸)","134.7198343","34.83860355"
"指定緊急避難場所（緊急時の避難場所）","勝原市民センタ―","勝原区丁743","134.597316","34.81443266"
"指定緊急避難場所（緊急時の避難場所）","勝原小学校","勝原区丁735-3","134.5980289","34.81514358"
"指定緊急避難場所（緊急時の避難場所）","旧勝原小第２グラウンド","勝原区丁","134.6024523","34.81708192"
"指定緊急避難場所（緊急時の避難場所）","兼田緑地","兼田386-4（市川左岸）","134.6944604","34.80433015"
"指定緊急避難場所（緊急時の避難場所）","球技スポーツセンター","花田町加納原田813","134.7285753","34.83166298"
"指定緊急避難場所（緊急時の避難場所）","旭陽公民館","網干区坂上430-2","134.5870024","34.80159919"
"指定緊急避難場所（緊急時の避難場所）","旭陽小学校","網干区坂上425-1","134.5866844","34.80126723"
"指定緊急避難場所（緊急時の避難場所）","琴陵中学校","山畑新田525","134.6780382","34.83811874"
"指定緊急避難場所（緊急時の避難場所）","勤労市民会館","中地354","134.6682996","34.81993677"
"指定緊急避難場所（緊急時の避難場所）","勤労者体育センター","飾磨区細江104-3","134.6715378","34.80471035"
"指定緊急避難場所（緊急時の避難場所）","琴丘高校","今宿668","134.660161","34.83800644"
"指定緊急避難場所（緊急時の避難場所）","山陽中学校","延末103-1","134.6783695","34.8231625"
"指定緊急避難場所（緊急時の避難場所）","飾磨公民館","飾磨区宮16","134.6696257","34.7959941"
